Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","834","United Republic of Tanzania","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.911","E","Estimated value"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.217","E","Estimated value"
"ET","Temperature change on land","850","United States Virgin Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.894","E","Estimated value"
"ET","Temperature change on land","858","Uruguay","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.382","E","Estimated value"
"ET","Temperature change on land","860","Uzbekistan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.607","E","Estimated value"
"ET","Temperature change on land","548","Vanuatu","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.479","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.533","E","Estimated value"
"ET","Temperature change on land","704","Viet Nam","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.033","E","Estimated value"
"ET","Temperature change on land","872","Wake Island","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.561","E","Estimated value"
"ET","Temperature change on land","876","Wallis and Futuna Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.951","E","Estimated value"
"ET","Temperature change on land","732","Western Sahara","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.97","E","Estimated value"
"ET","Temperature change on land","887","Yemen","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","894","Zambia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.686","E","Estimated value"
"ET","Temperature change on land","716","Zimbabwe","7271","Temperature change","7020","Meteorological year","2022","2022","°c","-0.49","E","Estimated value"
